deliverable,priority,start_date,end_date,team,type
0.1.0,1,21/06/2019,16/10/2019,dapr release period,projects
0.2.0,1,16/10/2019,15/11/2019,dapr release period,projects
0.3.0,1,15/11/2019,05/12/2019,dapr release period,projects
0.4.0,1,05/12/2019,13/02/2020,dapr release period,projects
0.5.0,1,13/02/2020,12/03/2020,dapr release period,projects
0.6.0,1,12/03/2020,02/04/2020,dapr release period,projects
0.7.0,1,02/04/2020,05/05/2020,dapr release period,projects
0.8.0,1,05/05/2020,09/06/2020,dapr release period,projects
0.9.0,1,09/06/2020,17/07/2020,dapr release period,projects
0.10.0,1,17/07/2020,20/08/2020,dapr release period,projects
0.11.0,1,20/08/2020,30/09/2020,dapr release period,projects
1.0.0-rc.3,1,30/09/2020,29/01/2021,dapr release period,projects
